filename,cohort,group_id,animal_ch0,cohort_ch0,group_ch0,animal_ch1,cohort_ch1,group_ch1,animal_ch2,cohort_ch2,group_ch2,animal_ch3,cohort_ch3,group_ch3,animal_ch4,cohort_ch4,group_ch4,animal_ch5,cohort_ch5,group_ch5,animal_ch6,cohort_ch6,group_ch6,animal_ch7,cohort_ch7,group_ch7
Day 4-20231012(3).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 4-20231012(4).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 4-20231012(5).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 4-20231012(6).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 4-20231012(7).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 4-20231012(8).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 4-20231012(9).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 5-20231013Sel.edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 5 -6 -20231013(1).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 5 -6 -20231013(2).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 5 -6 -20231013(3).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 5 -6 -20231013(4).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 5 -6 -20231013(5).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 5 -6 -20231013(6).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 5 -6 -20231013(7).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 5 -6 -20231013(8).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 5 -6 -20231013(9)(10).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 5 -6 -20231013(9)(11).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 5 -6 -20231013(9)(12).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 5 -6 -20231013(9)(13).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 5 -6 -20231013(9)(14).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 5 -6 -20231013(9)(15).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 5 -6 -20231013(9)(16).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 5 -6 -20231013(9)(17).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 5 -6 -20231013(9)(18).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 5 -6 -20231013(9)(19).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 5 -6 -20231013(9)(1).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 5 -6 -20231013(9)(20).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 5 -6 -20231013(9)(21).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 5 -6 -20231013(9)(22).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 5 -6 -20231013(9)(23).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 5 -6 -20231013(9)(24).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 5 -6 -20231013(9)(25).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 5 -6 -20231013(9)(26).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 5 -6 -20231013(9)(27).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 5 -6 -20231013(9)(28).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 5 -6 -20231013(9)(29).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 5 -6 -20231013(9)(2).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 5 -6 -20231013(9)(30).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 5 -6 -20231013(9)(31).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 5 -6 -20231013(9)(32).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 5 -6 -20231013(9)(33).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 5 -6 -20231013(9)(34).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 5 -6 -20231013(9)(3).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 5 -6 -20231013(9)(4).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 5 -6 -20231013(9)(5).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 5 -6 -20231013(9)(6).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 5 -6 -20231013(9)(7).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 5 -6 -20231013(9)(8).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 5 -6 -20231013(9)(9).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 5 -6 -20231013(9).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 7-20231015(10).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 7-20231015(11).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 7-20231015(1).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 7-20231015(2).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 7-20231015(3).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 7-20231015(4).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 7-20231015(5).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 7-20231015(6).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 7-20231015(7).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 7-20231015(8).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 7-20231015(9).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 7-20231015Sel.edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 8-20231016(10).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 8-20231016(11).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 8-20231016(12).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 8-20231016(13).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 8-20231016(14).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 8-20231016(15).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 8-20231016(16).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 8-20231016(17).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 8-20231016(18).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 8-20231016(19).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 8-20231016(1).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 8-20231016(20).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 8-20231016(2).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 8-20231016(3).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 8-20231016(4).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 8-20231016(5).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 8-20231016(6).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 8-20231016(7).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 8-20231016(8).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 8-20231016(9).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 9-20231017(10).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 9-20231017(11).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 9-20231017(12).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 9-20231017(13).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 9-20231017(14).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 9-20231017(15).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 9-20231017(16).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
